stn;time;" Globalstrahlung (W/m); Tagesmittel";Luftdruck auf Stationshoehe (hpa);Sonnenscheindauer (min);Maximaltemperatur (¡C);Gesamtschneehoehe (cm);Gesamtbewoelkung (min);Niederschlag (mm);Durchschnittstemperatur (¡C);Tiefsttemperatur (¡C);Relative Luftfeuchtigkeit (%)
ANT;18640101;-;-;-;-;-;-;-;-4.6;-;-
ANT;18640102;-;-;-;-;-;-;-;-14;-;-
ANT;18640103;-;-;-;-;-;-;-;-17;-;-
ANT;18640104;-;-;-;-;-;-;-;-16;-;-
ANT;18640105;-;-;-;-;-;-;-;-13.8;-;-
ANT;18640106;-;-;-;-;-;-;-;-13;-;-
ANT;18640107;-;-;-;-;-;-;-;-8.9;-;-
ANT;18640108;-;-;-;-;-;-;-;-4.2;-;-
ANT;18640109;-;-;-;-;-;-;-;-8.3;-;-
ANT;18640110;-;-;-;-;-;-;-;-14.7;-;-
ANT;18640111;-;-;-;-;-;-;-;-10.9;-;-
ANT;18640112;-;-;-;-;-;-;-;-13.6;-;-
ANT;18640113;-;-;-;-;-;-;-;-12.8;-;-
ANT;18640114;-;-;-;-;-;-;-;-14;-;-
ANT;18640115;-;-;-;-;-;-;-;-14.3;-;-
ANT;18640116;-;-;-;-;-;-;-;-14.3;-;-
ANT;18640117;-;-;-;-;-;-;-;-16.3;-;-
ANT;18640118;-;-;-;-;-;-;-;-9.9;-;-
ANT;18640119;-;-;-;-;-;-;-;-17.2;-;-
ANT;18640120;-;-;-;-;-;-;-;-15.1;-;-
ANT;18640121;-;-;-;-;-;-;-;-6.5;-;-
ANT;18640122;-;-;-;-;-;-;-;-9.4;-;-
ANT;18640123;-;-;-;-;-;-;-;-8.9;-;-
ANT;18640124;-;-;-;-;-;-;-;-2.7;-;-
ANT;18640125;-;-;-;-;-;-;-;-4.2;-;-
ANT;18640126;-;-;-;-;-;-;-;-10.6;-;-
ANT;18640127;-;-;-;-;-;-;-;-9.6;-;-
