stn;time;" Globalstrahlung (W/m); Tagesmittel";Gesamtschneehoehe (cm);Gesamtbewoelkung (min);Luftdruck auf Stationshoehe (hpa);Niederschlag (mm);Durchschnittstemperatur (¡C);Tiefsttemperatur (¡C);Maximaltemperatur (¡C);Sonnenscheindauer (min);Relative Luftfeuchtigkeit (%)
BER;18640101;-;-;100;939.6;4.7;-1.3;-5.7;0.7;-;95.3
BER;18640102;-;-;63;949.2;4.9;-10.3;-12.8;-5.7;-;91
BER;18640103;-;-;63;951;0.4;-12.2;-13.6;-10.2;-;92
BER;18640104;-;-;90;952.8;0;-11.9;-14.2;-10.9;-;92
BER;18640105;-;-;17;955.2;0;-12.8;-15.6;-8.1;-;98
BER;18640106;-;-;70;954.7;0;-11.8;-15.9;-7.8;-;89.7
BER;18640107;-;-;100;953.7;0;-9.4;-13.2;-6.8;-;95
BER;18640108;-;-;73;953.8;0;-9.1;-11.8;-6.3;-;97.3
BER;18640109;-;-;20;953.2;0;-9.5;-13.7;-4.3;-;89.3
BER;18640110;-;-;33;954.8;0;-11;-15.3;-5.5;-;92.7
BER;18640111;-;-;67;957;0;-10.7;-15.1;-4.5;-;99
BER;18640112;-;-;100;960.3;0;-10.1;-12.1;-7.3;-;97
BER;18640113;-;-;63;959.2;0;-12;-15.6;-7;-;96.7
BER;18640114;-;-;67;957.2;0;-11.2;-16.7;-5.6;-;93.3
BER;18640115;-;-;77;958.4;0;-12;-16.8;-6.9;-;100
BER;18640116;-;-;67;959.2;0;-11;-16.3;-8.8;-;96
BER;18640117;-;-;100;958.6;0;-9.1;-11.6;-5.5;-;95.7
BER;18640118;-;-;100;958.6;0;-9.2;-11.6;-6.2;-;97
BER;18640119;-;-;50;963.2;0;-9.4;-12.3;-4.3;-;97
BER;18640120;-;-;13;963.8;0;-9.5;-14.7;-4.3;-;96.7
BER;18640121;-;-;73;959.7;0;-7.6;-13.9;-1.8;-;95.3
BER;18640122;-;-;40;960;0;-4.9;-10.3;-3.7;-;83.3
BER;18640123;-;-;30;959.2;0;-2.4;-8.7;5;-;88.3
BER;18640124;-;-;67;957.1;0.7;2.6;-3;5;-;85.7
BER;18640125;-;-;97;961.6;5.4;2.6;1.5;4.9;-;91
BER;18640126;-;-;40;961.7;0;1.5;-1.9;7;-;86
BER;18640127;-;-;53;959.4;0;3;-2.3;8;-;80.7
BER;18640128;-;-;80;952.6;0;3;1.3;7.7;-;87.7
BER;18640129;-;-;100;952.1;7.2;0.3;-2.9;2.3;-;96.7
BER;18640130;-;-;20;959.5;1.3;-4.9;-8.3;-2.9;-;92.3
BER;18640131;-;-;97;959.6;0;-8.2;-11;-4.6;-;94
BER;18640201;-;-;0;961.2;0;-5.6;-10.3;0.9;-;93
BER;18640202;-;-;7;961.4;0;-3.2;-9.5;3.8;-;79.3
BER;18640203;-;-;0;959.5;0;-2.6;-8.7;6.4;-;82
BER;18640204;-;-;100;952.4;6.4;-0.8;-4;1.3;-;94.7
BER;18640205;-;-;93;948.4;1.3;-3.2;-5.9;-1.1;-;91
BER;18640206;-;-;100;940.3;0.6;-3.7;-4.7;-2.9;-;88.7
BER;18640207;-;-;100;940;0.8;-4.6;-5.7;-1.3;-;96.3
BER;18640208;-;-;50;938.5;3.2;-6;-9.3;-1.3;-;93
BER;18640209;-;-;73;936.4;0;-7.7;-9.1;-1.9;-;91.7
BER;18640210;-;-;47;933.6;0;-7.2;-12.3;-2.5;-;94.3
BER;18640211;-;-;40;938.4;0;-5.5;-11.4;2.2;-;89.3
BER;18640212;-;-;87;949.5;0;-5.9;-15.8;-0.3;-;90.7
BER;18640213;-;-;60;957.5;5.1;2.5;-3;9.9;-;97.3
BER;18640214;-;-;17;961.5;0;2.7;0.1;9.4;-;90.7
BER;18640215;-;-;60;955.9;0;2.5;-2;8.9;-;84.7
BER;18640216;-;-;93;949.6;0;5.1;1.7;10.7;-;82
BER;18640217;-;-;97;941.7;0;1;-1.9;6.8;-;82
BER;18640218;-;-;80;944.3;11;-2.1;-4.5;3.1;-;88.7
BER;18640219;-;-;47;944.9;0;-7.1;-8.8;-4.5;-;88.3
BER;18640220;-;-;77;937.9;0;-6.7;-11.9;-4.9;-;92.7
BER;18640221;-;-;70;929.9;0;-2.4;-7.9;2.2;-;88.7
BER;18640222;-;-;30;942.4;0.5;1.8;-1.5;5.7;-;90.3
BER;18640223;-;-;90;942.3;0;1.8;-0.7;6.2;-;87.7
BER;18640224;-;-;67;945.4;0;2.3;-2.6;9.2;-;85
BER;18640225;-;-;50;945.2;0;4;-1.5;11.9;-;82
BER;18640226;-;-;17;945;0;4.7;0.7;12.4;-;79
