stn;time;" Globalstrahlung (W/m); Tagesmittel";Sonnenscheindauer (min);Gesamtschneehoehe (cm);Gesamtbewoelkung (min);Luftdruck auf Stationshoehe (hpa);Relative Luftfeuchtigkeit (%);Niederschlag (mm);Durchschnittstemperatur;Tiefsttemperatur;Maximaltemperatur
CHM;18640101;-;-;-;-;873.5;-;7.3;-1.9;-;-
CHM;18640102;-;-;-;-;880;-;6.1;-14.3;-;-
CHM;18640103;-;-;-;-;881.1;-;0;-17.1;-;-
CHM;18640104;-;-;-;-;883.2;-;0;-15.5;-;-
CHM;18640105;-;-;-;-;885.7;-;0;-8.9;-;-
CHM;18640106;-;-;-;-;886;-;0;-4.9;-;-
CHM;18640107;-;-;-;-;885.2;-;0;-4.6;-;-
CHM;18640108;-;-;-;-;886;-;0;-2;-;-
CHM;18640109;-;-;-;-;886.2;-;0;-0.6;-;-
CHM;18640110;-;-;-;-;887.4;-;0;-1.3;-;-
CHM;18640111;-;-;-;-;888.7;-;0;-3.3;-;-
CHM;18640112;-;-;-;-;891.7;-;0;-2.7;-;-
CHM;18640113;-;-;-;-;891.2;-;0;0.3;-;-
CHM;18640114;-;-;-;-;889.4;-;0;-1.3;-;-
CHM;18640115;-;-;-;-;890;-;0;-3.5;-;-
CHM;18640116;-;-;-;-;890;-;0;-8.8;-;-
CHM;18640117;-;-;-;-;889.7;-;0;-4;-;-
CHM;18640118;-;-;-;-;889.9;-;0;-3.8;-;-
CHM;18640119;-;-;-;-;894.4;-;0;-3.9;-;-
CHM;18640120;-;-;-;-;895.9;-;0;-2.3;-;-
CHM;18640121;-;-;-;-;892.4;-;0;1;-;-
CHM;18640122;-;-;-;-;893;-;0;1.6;-;-
CHM;18640123;-;-;-;-;893;-;0;3;-;-
CHM;18640124;-;-;-;-;892.2;-;0.2;2.5;-;-
CHM;18640125;-;-;-;-;895.3;-;1.5;-0.4;-;-
CHM;18640126;-;-;-;-;895;-;0;0.1;-;-
CHM;18640127;-;-;-;-;893.5;-;0;1.6;-;-
CHM;18640128;-;-;-;-;886.9;-;0.8;-0.2;-;-
CHM;18640129;-;-;-;-;885.8;-;5.4;-3.8;-;-
CHM;18640130;-;-;-;-;891.2;-;0.2;-9.6;-;-
CHM;18640131;-;-;-;-;890.4;-;0;-9.7;-;-
CHM;18640201;-;-;-;-;893.5;-;0;-2.5;-;-
CHM;18640202;-;-;-;-;894.5;-;0;-0.3;-;-
CHM;18640203;-;-;-;-;892.9;-;0;0;-;-
CHM;18640204;-;-;-;-;885.6;-;0.9;-3.6;-;-
CHM;18640205;-;-;-;-;881;-;0;-7;-;-
CHM;18640206;-;-;-;-;873.2;-;0.1;-8.5;-;-
CHM;18640207;-;-;-;-;872.5;-;4.2;-8.9;-;-
CHM;18640208;-;-;-;-;870.4;-;0.5;-11.4;-;-
CHM;18640209;-;-;-;-;868.4;-;0;-10.5;-;-
CHM;18640210;-;-;-;-;866;-;0.2;-9.1;-;-
CHM;18640211;-;-;-;-;871.4;-;0.4;-7.9;-;-
CHM;18640212;-;-;-;-;883.2;-;0;-5.5;-;-
CHM;18640213;-;-;-;-;892.2;-;21.2;3.4;-;-
CHM;18640214;-;-;-;-;896;-;0;3;-;-
CHM;18640215;-;-;-;-;891.2;-;0;5.3;-;-
CHM;18640216;-;-;-;-;884.8;-;0;5.3;-;-
CHM;18640217;-;-;-;-;876.4;-;3.6;-3.9;-;-
CHM;18640218;-;-;-;-;877.4;-;6;-7.3;-;-
CHM;18640219;-;-;-;-;876.3;-;1.1;-11.9;-;-
CHM;18640220;-;-;-;-;870.5;-;0;-8.8;-;-
CHM;18640221;-;-;-;-;863.9;-;0;-3.2;-;-
CHM;18640222;-;-;-;-;877.3;-;0.2;-1.7;-;-
CHM;18640223;-;-;-;-;877;-;0;2.9;-;-
