stn;time;" Globalstrahlung (W/m); Tagesmittel";Gesamtschneehoehe (cm);Gesamtbewoelkung (min);Luftdruck auf Stationshoehe (hpa);Niederschlag (mm);Durchschnittstemperatur (¡C);Sonnenscheindauer (min);Tiefsttemperatur (¡C);Maximaltemperatur (¡C);Relative Luftfeuchtigkeit (%)
DAV;18670101;-;-;-;812.1;4.7;-7.7;-;-;-;-
DAV;18670102;-;-;-;813;0.1;-11.3;-;-;-;-
DAV;18670103;-;-;-;819;0.3;-14.7;-;-;-;-
DAV;18670104;-;-;-;824.3;0;-20.8;-;-;-;-
DAV;18670105;-;-;-;830.3;0;-17.9;-;-;-;-
DAV;18670106;-;-;-;828.8;0;-5.8;-;-;-;-
DAV;18670107;-;-;-;830;2.8;-3.9;-;-;-;-
DAV;18670108;-;-;-;824.4;0;0.4;-;-;-;-
DAV;18670109;-;-;-;818.4;5.5;-1.7;-;-;-;-
DAV;18670110;-;-;-;818.1;0;-0.9;-;-;-;-
DAV;18670111;-;-;-;816;0.6;-2.4;-;-;-;-
DAV;18670112;-;-;-;817;3;-10.2;-;-;-;-
DAV;18670113;-;-;-;814.5;0.4;-8.2;-;-;-;-
DAV;18670114;-;-;-;815.5;7.2;-8.1;-;-;-;-
DAV;18670115;-;-;-;811.4;18.6;-6;-;-;-;-
DAV;18670116;-;-;-;810.1;13.5;-13.8;-;-;-;-
DAV;18670117;-;-;-;811.5;0;-16.1;-;-;-;-
DAV;18670118;-;-;-;815.7;0;-11.4;-;-;-;-
DAV;18670119;-;-;-;821.7;4.1;-15.6;-;-;-;-
DAV;18670120;-;-;-;821;0;-6.3;-;-;-;-
DAV;18670121;-;-;-;819.9;1.5;-2.4;-;-;-;-
DAV;18670122;-;-;-;830.1;6.7;-2.4;-;-;-;-
DAV;18670123;-;-;-;836;1.8;-2.2;-;-;-;-
DAV;18670124;-;-;-;833.2;11.1;-0.7;-;-;-;-
DAV;18670125;-;-;-;826.1;0;1.6;-;-;-;-
DAV;18670126;-;-;-;832.8;0.5;-3.6;-;-;-;-
DAV;18670127;-;-;-;837;6.6;-1.9;-;-;-;-
DAV;18670128;-;-;-;838.5;26.5;0.1;-;-;-;-
DAV;18670129;-;-;-;836.2;2.2;-0.8;-;-;-;-
DAV;18670130;-;-;-;837.9;0;-4.5;-;-;-;-
DAV;18670131;-;-;-;833.8;5.5;-3.1;-;-;-;-
DAV;18670201;-;-;-;840.3;6.6;-10.4;-;-;-;-
DAV;18670202;-;-;-;843.7;0;-1.4;-;-;-;-
DAV;18670203;-;-;-;843.8;4.6;-7.7;-;-;-;-
DAV;18670204;-;-;-;837;0;-4;-;-;-;-
DAV;18670205;-;-;-;826.9;0;-5.8;-;-;-;-
DAV;18670206;-;-;-;820.5;3.5;-0.4;-;-;-;-
DAV;18670207;-;-;-;821.6;3.3;-5.8;-;-;-;-
DAV;18670208;-;-;-;831.5;6;-2.7;-;-;-;-
DAV;18670209;-;-;-;834.5;6;2.1;-;-;-;-
DAV;18670210;-;-;-;840.6;1;0.8;-;-;-;-
DAV;18670211;-;-;-;838.8;0;-2;-;-;-;-
DAV;18670212;-;-;-;841.5;2.5;-4;-;-;-;-
DAV;18670213;-;-;-;840.3;0;-0.8;-;-;-;-
DAV;18670214;-;-;-;845.4;0;-4.3;-;-;-;-
DAV;18670215;-;-;-;842.7;0;1.2;-;-;-;-
DAV;18670216;-;-;-;841.2;0;-0.1;-;-;-;-
DAV;18670217;-;-;-;838.9;0;1.9;-;-;-;-
DAV;18670218;-;-;-;840.9;0;1.3;-;-;-;-
DAV;18670219;-;-;-;843.7;0;1;-;-;-;-
DAV;18670220;-;-;-;844.6;0;0.4;-;-;-;-
DAV;18670221;-;-;-;845.9;0.1;-1.9;-;-;-;-
DAV;18670222;-;-;-;845.2;0;-3.1;-;-;-;-
DAV;18670223;-;-;-;842.9;0;-2.3;-;-;-;-
DAV;18670224;-;-;-;842.5;0;-2.8;-;-;-;-
DAV;18670225;-;-;-;838.1;0;-3.3;-;-;-;-
DAV;18670226;-;-;-;831.6;0;-0.9;-;-;-;-
DAV;18670227;-;-;-;828.6;8.7;-2.9;-;-;-;-
DAV;18670228;-;-;-;829.2;12.1;-10.5;-;-;-;-
DAV;18670301;-;-;-;830.8;0.1;-12.4;-;-;-;-
DAV;18670302;-;-;-;834.1;0;-17.1;-;-;-;-
DAV;18670303;-;-;-;835.4;0;-10.6;-;-;-;-
DAV;18670304;-;-;-;832.5;0;-8.1;-;-;-;-
DAV;18670305;-;-;-;823.6;0;-7.4;-;-;-;-
DAV;18670306;-;-;-;813.2;1.4;-12.3;-;-;-;-
DAV;18670307;-;-;-;815;0;-3.5;-;-;-;-
DAV;18670308;-;-;-;818.9;0;1.9;-;-;-;-
DAV;18670309;-;-;-;822;0.2;-0.1;-;-;-;-
DAV;18670310;-;-;-;821.5;6.1;1.3;-;-;-;-
DAV;18670311;-;-;-;822;2;1.3;-;-;-;-
DAV;18670312;-;-;-;823.8;0;1;-;-;-;-
DAV;18670313;-;-;-;824.4;0.8;0.1;-;-;-;-
DAV;18670314;-;-;-;822.2;1.3;-0.4;-;-;-;-
DAV;18670315;-;-;-;821.6;5.7;-0.1;-;-;-;-
DAV;18670316;-;-;-;821.8;0;-0.3;-;-;-;-
DAV;18670317;-;-;-;822.9;3.3;-1.2;-;-;-;-
DAV;18670318;-;-;-;820.7;0;3.1;-;-;-;-
DAV;18670319;-;-;-;818.9;0.2;3.3;-;-;-;-
DAV;18670320;-;-;-;817.1;4.1;0.8;-;-;-;-
DAV;18670321;-;-;-;821.7;0;0.1;-;-;-;-
DAV;18670322;-;-;-;826.9;0;0.1;-;-;-;-
DAV;18670323;-;-;-;832.2;0;-1.1;-;-;-;-
DAV;18670324;-;-;-;831.4;0;0;-;-;-;-
DAV;18670325;-;-;-;831.8;0;1.6;-;-;-;-
DAV;18670326;-;-;-;828.9;0;4;-;-;-;-
DAV;18670327;-;-;-;820.9;0;4.7;-;-;-;-
DAV;18670328;-;-;-;816.5;8.9;-0.5;-;-;-;-
DAV;18670329;-;-;-;818.5;0;-1;-;-;-;-
DAV;18670330;-;-;-;824.1;0;-1.6;-;-;-;-
DAV;18670331;-;-;-;827.2;0.1;-4.9;-;-;-;-
DAV;18670401;-;-;-;832.9;0.5;-5.9;-;-;-;-
DAV;18670402;-;-;-;836.4;0;-2.9;-;-;-;-
DAV;18670403;-;-;-;827.5;2.8;0;-;-;-;-
DAV;18670404;-;-;-;832.7;0.5;0.6;-;-;-;-
DAV;18670405;-;-;-;829.7;9.4;-0.1;-;-;-;-
DAV;18670406;-;-;-;830.8;7.9;-0.3;-;-;-;-
DAV;18670407;-;-;-;832.3;23.2;2.2;-;-;-;-
DAV;18670408;-;-;-;826.8;0.6;1;-;-;-;-
DAV;18670409;-;-;-;823.6;11.8;-1.2;-;-;-;-
DAV;18670410;-;-;-;830.2;6.3;-3.6;-;-;-;-
DAV;18670411;-;-;-;828.8;0;-0.3;-;-;-;-
DAV;18670412;-;-;-;834.1;0.4;-3.2;-;-;-;-
DAV;18670413;-;-;-;837.1;0;-0.4;-;-;-;-
DAV;18670414;-;-;-;834.8;0;3.8;-;-;-;-
DAV;18670415;-;-;-;825.7;0;1.4;-;-;-;-
DAV;18670416;-;-;-;826.7;12.7;-1.1;-;-;-;-
DAV;18670417;-;-;-;827.9;18.8;3;-;-;-;-
DAV;18670418;-;-;-;831.8;2.4;3.7;-;-;-;-
DAV;18670419;-;-;-;833.4;0;5;-;-;-;-
DAV;18670420;-;-;-;829.1;0;6.7;-;-;-;-
