stn;time;" Globalstrahlung (W/m); Tagesmittel";Luftdruck auf Stationshoehe (hpa);Sonnenscheindauer (min);Gesamtschneehoehe (cm);Gesamtbewoelkung (min);Niederschlag (mm);Durchschnittstemperatur (¡C);Tiefsttemperatur (¡C);Maximaltemperatur (¡C);Relative Luftfeuchtigkeit (%)
ELM;18780201;-;-;-;-;-;0;-9.3;-;-;-
ELM;18780202;-;-;-;-;-;0;-5.3;-;-;-
ELM;18780203;-;-;-;-;-;0;-4.3;-;-;-
ELM;18780204;-;-;-;-;-;0;-6.2;-;-;-
ELM;18780205;-;-;-;-;-;0;-2.7;-;-;-
ELM;18780206;-;-;-;-;-;0;-1.8;-;-;-
ELM;18780207;-;-;-;-;-;0;-5;-;-;-
ELM;18780208;-;-;-;-;-;0;0.3;-;-;-
ELM;18780209;-;-;-;-;-;0;-0.4;-;-;-
ELM;18780210;-;-;-;-;-;0;1.5;-;-;-
ELM;18780211;-;-;-;-;-;0;1.5;-;-;-
ELM;18780212;-;-;-;-;-;10.6;-0.3;-;-;-
ELM;18780213;-;-;-;-;-;0;-3.1;-;-;-
ELM;18780214;-;-;-;-;-;0;4.9;-;-;-
ELM;18780215;-;-;-;-;-;0;5.9;-;-;-
ELM;18780216;-;-;-;-;-;0;4.3;-;-;-
ELM;18780217;-;-;-;-;-;0;4.2;-;-;-
ELM;18780218;-;-;-;-;-;0;2.2;-;-;-
ELM;18780219;-;-;-;-;-;1.9;1.8;-;-;-
ELM;18780220;-;-;-;-;-;0;0.1;-;-;-
ELM;18780221;-;-;-;-;-;0;2.2;-;-;-
ELM;18780222;-;-;-;-;-;0;1.3;-;-;-
ELM;18780223;-;-;-;-;-;0;1.7;-;-;-
ELM;18780224;-;-;-;-;-;0;2.9;-;-;-
ELM;18780225;-;-;-;-;-;3.8;1.9;-;-;-
ELM;18780226;-;-;-;-;-;2.5;2.8;-;-;-
ELM;18780227;-;-;-;-;-;0;4.2;-;-;-
ELM;18780228;-;-;-;-;-;2;4.4;-;-;-
ELM;18780301;-;-;-;-;-;1;5.1;-;-;-
ELM;18780302;-;-;-;-;-;0;5.6;-;-;-
ELM;18780303;-;-;-;-;-;0;5.1;-;-;-
ELM;18780304;-;-;-;-;-;0;3.5;-;-;-
ELM;18780305;-;-;-;-;-;0;5.4;-;-;-
ELM;18780306;-;-;-;-;-;7;4.8;-;-;-
ELM;18780307;-;-;-;-;-;11;2.1;-;-;-
ELM;18780308;-;-;-;-;-;14;3.9;-;-;-
ELM;18780309;-;-;-;-;-;1.4;-1.4;-;-;-
ELM;18780310;-;-;-;-;-;0;0;-;-;-
ELM;18780311;-;-;-;-;-;4.1;2;-;-;-
ELM;18780312;-;-;-;-;-;19;0.3;-;-;-
ELM;18780313;-;-;-;-;-;14.4;-2.5;-;-;-
ELM;18780314;-;-;-;-;-;8.2;-4.6;-;-;-
ELM;18780315;-;-;-;-;-;0;-5.4;-;-;-
ELM;18780316;-;-;-;-;-;0;-7.2;-;-;-
ELM;18780317;-;-;-;-;-;3.5;-7;-;-;-
ELM;18780318;-;-;-;-;-;10.5;-1.8;-;-;-
