stn;time;" Globalstrahlung (W/m); Tagesmittel";Gesamtschneehoehe (cm);Gesamtbewoelkung (min);Luftdruck auf Stationshoehe (hpa);Niederschlag (mm);Durchschnittstemperatur;Sonnenscheindauer (min);Tiefsttemperatur;Maximaltemperatur;Relative Luftfeuchtigkeit (%)
ENG;18640101;-;-;-;887.8;0;-2.9;-;-;-;-
ENG;18640102;-;-;-;895.1;12.8;-12.3;-;-;-;-
ENG;18640103;-;-;-;897.3;1.7;-17.4;-;-;-;-
ENG;18640104;-;-;-;898.5;0;-18.3;-;-;-;-
ENG;18640105;-;-;-;900.6;0;-12.4;-;-;-;-
ENG;18640106;-;-;-;900.7;0;-11.1;-;-;-;-
ENG;18640107;-;-;-;899.5;0;-7.7;-;-;-;-
ENG;18640108;-;-;-;900.7;0;-7;-;-;-;-
ENG;18640109;-;-;-;900.6;0;-5.8;-;-;-;-
ENG;18640110;-;-;-;901.7;0;-5.7;-;-;-;-
ENG;18640111;-;-;-;903.2;0;-10.4;-;-;-;-
ENG;18640112;-;-;-;906.3;0;-5;-;-;-;-
ENG;18640113;-;-;-;905.7;0;-5;-;-;-;-
ENG;18640114;-;-;-;903.7;0;-5.8;-;-;-;-
ENG;18640115;-;-;-;904.5;0;-7.9;-;-;-;-
ENG;18640116;-;-;-;905.3;0;-15;-;-;-;-
ENG;18640117;-;-;-;904.4;0;-7.9;-;-;-;-
ENG;18640118;-;-;-;904.9;0;-8.8;-;-;-;-
ENG;18640119;-;-;-;909.4;0;-8.1;-;-;-;-
ENG;18640120;-;-;-;910.9;0;-6.4;-;-;-;-
ENG;18640121;-;-;-;906.2;0;-0.8;-;-;-;-
ENG;18640122;-;-;-;907.5;0;-2.4;-;-;-;-
ENG;18640123;-;-;-;907.3;0;0.3;-;-;-;-
ENG;18640124;-;-;-;905.9;0;4.6;-;-;-;-
ENG;18640125;-;-;-;909.9;10.2;0.6;-;-;-;-
ENG;18640126;-;-;-;909.6;0;-2.3;-;-;-;-
ENG;18640127;-;-;-;907.9;0;-0.5;-;-;-;-
ENG;18640128;-;-;-;900.3;0;1;-;-;-;-
ENG;18640129;-;-;-;899.6;18.2;-3.2;-;-;-;-
ENG;18640130;-;-;-;906.7;6.3;-10.5;-;-;-;-
ENG;18640131;-;-;-;905.1;0;-12.5;-;-;-;-
ENG;18640201;-;-;-;908.6;0;-6.5;-;-;-;-
ENG;18640202;-;-;-;909;0;-4.7;-;-;-;-
ENG;18640203;-;-;-;906.9;0;-4;-;-;-;-
ENG;18640204;-;-;-;899.7;0;-3.1;-;-;-;-
ENG;18640205;-;-;-;894.9;8.9;-5.7;-;-;-;-
ENG;18640206;-;-;-;887.5;2.8;-7.8;-;-;-;-
ENG;18640207;-;-;-;887.1;2.5;-7.1;-;-;-;-
ENG;18640208;-;-;-;884.8;6.2;-11.2;-;-;-;-
ENG;18640209;-;-;-;883.1;0;-13.5;-;-;-;-
ENG;18640210;-;-;-;881;0;-10.5;-;-;-;-
ENG;18640211;-;-;-;885.3;2.8;-9.3;-;-;-;-
ENG;18640212;-;-;-;897.7;1;-4.9;-;-;-;-
ENG;18640213;-;-;-;906.2;5.5;1.9;-;-;-;-
ENG;18640214;-;-;-;910.4;0;0.3;-;-;-;-
ENG;18640215;-;-;-;905.3;0;3.5;-;-;-;-
ENG;18640216;-;-;-;898.9;0;4.6;-;-;-;-
ENG;18640217;-;-;-;889.4;22;-2;-;-;-;-
