stn;time;" Globalstrahlung (W/m); Tagesmittel";Luftdruck auf Stationshoehe (hpa);Sonnenscheindauer (min);Gesamtschneehoehe (cm);Gesamtbewoelkung (min);Tiefsttemperatur (¡C);Maximaltemperatur (¡C);Relative Luftfeuchtigkeit (%);Niederschlag (mm);Durchschnittstemperatur (¡C)
GRC;18640101;-;-;-;-;-;-;-;-;0;-5.5
GRC;18640102;-;-;-;-;-;-;-;-;0.7;-11.6
GRC;18640103;-;-;-;-;-;-;-;-;0;-16.6
GRC;18640104;-;-;-;-;-;-;-;-;0;-6.2
GRC;18640105;-;-;-;-;-;-;-;-;0;-6.9
GRC;18640106;-;-;-;-;-;-;-;-;0;-6.1
GRC;18640107;-;-;-;-;-;-;-;-;0;-3.8
GRC;18640108;-;-;-;-;-;-;-;-;0;-4.6
GRC;18640109;-;-;-;-;-;-;-;-;0;-4.3
GRC;18640110;-;-;-;-;-;-;-;-;0;-6.1
GRC;18640111;-;-;-;-;-;-;-;-;0;-2.4
GRC;18640112;-;-;-;-;-;-;-;-;0;-3.1
GRC;18640113;-;-;-;-;-;-;-;-;0;-3.5
GRC;18640114;-;-;-;-;-;-;-;-;0;-4.2
GRC;18640115;-;-;-;-;-;-;-;-;0;-4.9
GRC;18640116;-;-;-;-;-;-;-;-;0;-6
GRC;18640117;-;-;-;-;-;-;-;-;0;-5.4
GRC;18640118;-;-;-;-;-;-;-;-;0;-6.2
GRC;18640119;-;-;-;-;-;-;-;-;0;-7.6
GRC;18640120;-;-;-;-;-;-;-;-;0;-4.2
GRC;18640121;-;-;-;-;-;-;-;-;0;-0.1
GRC;18640122;-;-;-;-;-;-;-;-;0;-1.6
GRC;18640123;-;-;-;-;-;-;-;-;0;-1.3
GRC;18640124;-;-;-;-;-;-;-;-;0;0
GRC;18640125;-;-;-;-;-;-;-;-;0;-1.4
GRC;18640126;-;-;-;-;-;-;-;-;0;-2.9
GRC;18640127;-;-;-;-;-;-;-;-;0;-3.4
