stn;time;" Globalstrahlung (W/m); Tagesmittel";Gesamtbewoelkung (min);Luftdruck auf Stationshoehe (hpa);Durchschnittstemperatur (¡C);Relative Luftfeuchtigkeit (%);Sonnenscheindauer (min);Tiefsttemperatur (¡C);Maximaltemperatur (¡C)
JUN;19330101;-;47;656.1;-10.9;71.3;-;-;-
JUN;19330102;-;53;658.3;-9.6;32;-;-;-
JUN;19330103;-;67;659.4;-9;78.7;-;-;-
JUN;19330104;-;100;657.7;-10.6;99.7;-;-;-
JUN;19330105;-;43;656.7;-9.4;61.7;-;-;-
JUN;19330106;-;87;655.5;-15.4;91;-;-;-
JUN;19330107;-;30;656.8;-17;82;-;-;-
JUN;19330108;-;100;659.1;-11.8;98;-;-;-
JUN;19330109;-;100;658.5;-9.4;99;-;-;-
JUN;19330110;-;57;651.5;-16.4;89.3;-;-;-
JUN;19330111;-;33;649.4;-14.4;70.7;-;-;-
JUN;19330112;-;70;645.4;-12.5;57.7;-;-;-
JUN;19330113;-;33;645.5;-15;46;-;-;-
JUN;19330114;-;73;644.1;-16.9;81.7;-;-;-
JUN;19330115;-;100;642.1;-16;98.3;-;-;-
JUN;19330116;-;93;635.4;-18.5;92.7;-;-;-
JUN;19330117;-;100;634.6;-18.2;79.7;-;-;-
JUN;19330118;-;100;635.7;-17;100;-;-;-
JUN;19330119;-;80;638.4;-20.2;95.3;-;-;-
JUN;19330120;-;47;642.4;-18.9;90.7;-;-;-
JUN;19330121;-;23;644.1;-20;67;-;-;-
JUN;19330122;-;30;644.7;-21.7;34.3;-;-;-
JUN;19330123;-;40;642.2;-20.2;58.3;-;-;-
JUN;19330124;-;73;644.9;-16.9;91.3;-;-;-
JUN;19330125;-;100;645.8;-18.6;86;-;-;-
JUN;19330126;-;30;647.6;-19.2;75.3;-;-;-
JUN;19330127;-;73;648.9;-18.7;73;-;-;-
JUN;19330128;-;23;650.2;-16.5;65.7;-;-;-
JUN;19330129;-;97;647.6;-11.9;94.7;-;-;-
JUN;19330130;-;100;644.7;-12.6;97.7;-;-;-
JUN;19330131;-;90;650.4;-14.9;97.3;-;-;-
JUN;19330201;-;67;656.4;-10.1;84.7;-;-;-
JUN;19330202;-;100;653.2;-6.1;96.7;-;-;-
JUN;19330203;-;100;653.8;-8.6;97.3;-;-;-
JUN;19330204;-;100;658.5;-5.4;99;-;-;-
JUN;19330205;-;77;659.8;-7.6;96.7;-;-;-
JUN;19330206;-;77;657.7;-8.1;92;-;-;-
JUN;19330207;-;97;650;-11;89;-;-;-
JUN;19330208;-;100;651.8;-12.5;96.7;-;-;-
JUN;19330209;-;73;660.2;-7.8;95;-;-;-
JUN;19330210;-;87;655.6;-6.8;94;-;-;-
JUN;19330211;-;97;645.5;-12.1;89;-;-;-
JUN;19330212;-;3;647.4;-14.9;54.3;-;-;-
JUN;19330213;-;0;656.2;-7.6;40.7;-;-;-
JUN;19330214;-;10;651.6;-13.5;39;-;-;-
JUN;19330215;-;3;641.5;-13.3;50;-;-;-
JUN;19330216;-;3;642.2;-18.4;49.7;-;-;-
JUN;19330217;-;60;646.4;-18.4;53;-;-;-
JUN;19330218;-;100;635.6;-21.2;98.3;-;-;-
JUN;19330219;-;80;631.5;-24.6;93;-;-;-
JUN;19330220;-;93;633.7;-17.9;87;-;-;-
JUN;19330221;-;73;638.9;-16.5;78.7;-;-;-
JUN;19330222;-;90;630.1;-19.9;76.7;-;-;-
JUN;19330223;-;80;630.6;-21.9;88.7;-;-;-
JUN;19330224;-;77;634.5;-25.3;85;-;-;-
JUN;19330225;-;17;641;-19.5;46;-;-;-
JUN;19330226;-;67;645.1;-11.7;45.3;-;-;-
JUN;19330227;-;63;646.7;-10.9;63.7;-;-;-
JUN;19330228;-;83;648.5;-11.8;92;-;-;-
JUN;19330301;-;60;650.7;-12.5;44.7;-;-;-
JUN;19330302;-;80;650.7;-9.7;87.3;-;-;-
JUN;19330303;-;100;648.8;-8.3;99.7;-;-;-
JUN;19330304;-;93;645.8;-9.1;96.3;-;-;-
JUN;19330305;-;93;645.1;-9.4;97.3;-;-;-
JUN;19330306;-;27;647.6;-12.4;93;-;-;-
JUN;19330307;-;97;649.8;-10.5;78;-;-;-
JUN;19330308;-;73;655.9;-11.8;75.3;-;-;-
JUN;19330309;-;7;657.5;-11.7;63;-;-;-
JUN;19330310;-;3;655.5;-9.1;47;-;-;-
JUN;19330311;-;0;652.3;-8.4;56.3;-;-;-
JUN;19330312;-;13;651.5;-11.6;44.7;-;-;-
JUN;19330313;-;27;653.5;-9.7;41.7;-;-;-
JUN;19330314;-;3;654.7;-11.2;55;-;-;-
JUN;19330315;-;10;655.3;-9.1;47.7;-;-;-
JUN;19330316;-;43;653.7;-9.9;44.7;-;-;-
JUN;19330317;-;80;645;-11.6;86.7;-;-;-
JUN;19330318;-;100;637.1;-16;97.7;-;-;-
JUN;19330319;-;83;645;-12.4;98.7;-;-;-
JUN;19330320;-;100;643.8;-13.7;95;-;-;-
JUN;19330321;-;100;649.9;-21;96.7;-;-;-
JUN;19330322;-;0;655.2;-12.2;64;-;-;-
JUN;19330323;-;0;650.6;-9.9;30;-;-;-
JUN;19330324;-;37;653.2;-9.4;33.7;-;-;-
JUN;19330325;-;43;651.3;-15.1;90.3;-;-;-
JUN;19330326;-;73;652.1;-12.6;92.7;-;-;-
JUN;19330327;-;97;653.6;-10.4;83.3;-;-;-
JUN;19330328;-;3;655.7;-7.4;31;-;-;-
JUN;19330329;-;3;654.4;-7.5;32.7;-;-;-
JUN;19330330;-;13;653.8;-9.9;56.3;-;-;-
JUN;19330331;-;33;653.1;-9;79.3;-;-;-
JUN;19330401;-;27;653.6;-10.2;56;-;-;-
JUN;19330402;-;83;654.7;-12.1;91.3;-;-;-
JUN;19330403;-;97;656.4;-8.7;92;-;-;-
JUN;19330404;-;43;658.8;-6.1;42;-;-;-
JUN;19330405;-;20;658.4;-7.3;38.3;-;-;-
JUN;19330406;-;33;656.5;-8.1;63;-;-;-
JUN;19330407;-;27;654.8;-10.4;79.7;-;-;-
JUN;19330408;-;90;655.1;-9.7;86;-;-;-
JUN;19330409;-;80;656;-9;77.7;-;-;-
JUN;19330410;-;93;657;-9.4;77.3;-;-;-
JUN;19330411;-;43;658.7;-4.1;49.3;-;-;-
JUN;19330412;-;87;656.8;-4.3;79;-;-;-
JUN;19330413;-;100;654.3;-4;90.7;-;-;-
JUN;19330414;-;23;657.6;-3.7;51.3;-;-;-
JUN;19330415;-;7;660;-4.9;32.7;-;-;-
JUN;19330416;-;17;658.5;-3.9;35;-;-;-
JUN;19330417;-;10;655;-3.2;34;-;-;-
JUN;19330418;-;77;649.3;-4.9;65.3;-;-;-
JUN;19330419;-;67;642.7;-10.1;83;-;-;-
JUN;19330420;-;87;639.4;-9.6;64.7;-;-;-
JUN;19330421;-;100;639;-13.8;85;-;-;-
JUN;19330422;-;100;643.3;-17.6;79.7;-;-;-
JUN;19330423;-;7;647.7;-15.4;75.7;-;-;-
JUN;19330424;-;80;652.8;-8.4;66.3;-;-;-
JUN;19330425;-;83;654.1;-6.3;72;-;-;-
JUN;19330426;-;100;653.5;-7.7;86;-;-;-
JUN;19330427;-;100;650.4;-9.4;92;-;-;-
JUN;19330428;-;90;650;-7;95.7;-;-;-
JUN;19330429;-;100;651.3;-8.4;94;-;-;-
JUN;19330430;-;100;652.7;-8.5;90.7;-;-;-
