stn;time;" Globalstrahlung (W/m); Tagesmittel";Gesamtschneehoehe (cm);Gesamtbewoelkung (min);Luftdruck auf Stationshoehe (hpa);Niederschlag (mm);Durchschnittstemperatur (¡C);Relative Luftfeuchtigkeit (%);Sonnenscheindauer (min);Tiefsttemperatur (¡C);Maximaltemperatur (¡C)
LUG;18640101;-;-;77;974.9;5.4;0.9;90.7;-;-;-
LUG;18640102;-;-;90;976.2;0;-1.3;95;-;-;-
LUG;18640103;-;-;17;981.6;2.5;-4.5;92.7;-;-;-
LUG;18640104;-;-;97;987.3;0;-3.4;93.7;-;-;-
LUG;18640105;-;-;63;992.4;0;-2.5;98.3;-;-;-
LUG;18640106;-;-;0;988.8;0;-2.9;84;-;-;-
LUG;18640107;-;-;0;990.4;0;-2.9;82.3;-;-;-
LUG;18640108;-;-;0;992.1;0;-2.4;79;-;-;-
LUG;18640109;-;-;3;990.4;0;-2.5;78.3;-;-;-
LUG;18640110;-;-;3;989.4;0;-3.1;82.3;-;-;-
LUG;18640111;-;-;17;992.7;0;-2.8;79.7;-;-;-
LUG;18640112;-;-;0;996.7;0;-3.5;84.7;-;-;-
LUG;18640113;-;-;33;993.1;0;-3.3;100;-;-;-
LUG;18640114;-;-;0;989.2;0;-2.8;70;-;-;-
LUG;18640115;-;-;27;990.6;0;-3.1;77;-;-;-
LUG;18640116;-;-;100;999.6;0;-4.9;81;-;-;-
LUG;18640117;-;-;37;1000.9;0;-6.5;82;-;-;-
LUG;18640118;-;-;0;1000.4;0;-6.3;85.7;-;-;-
LUG;18640119;-;-;0;998.8;0;-5.4;79.7;-;-;-
LUG;18640120;-;-;13;996.6;0;-3.8;73.7;-;-;-
LUG;18640121;-;-;63;996.7;0;-1.8;76;-;-;-
LUG;18640122;-;-;3;995;0;-2.1;76.7;-;-;-
LUG;18640123;-;-;0;994.7;0;-1;73.7;-;-;-
LUG;18640124;-;-;83;991.9;0;-0.5;85.7;-;-;-
LUG;18640125;-;-;3;995;0;0.6;84;-;-;-
LUG;18640126;-;-;0;997.4;0;-0.2;84.3;-;-;-
LUG;18640127;-;-;60;994.4;0;0.6;81.7;-;-;-
LUG;18640128;-;-;57;986.3;0;2.2;79;-;-;-
LUG;18640129;-;-;7;979.6;0.1;6.2;47.3;-;-;-
LUG;18640130;-;-;67;994.4;0;1.7;52.3;-;-;-
LUG;18640131;-;-;37;1000.4;0;-2.2;67;-;-;-
LUG;18640201;-;-;7;998.6;0;-1.7;75.3;-;-;-
LUG;18640202;-;-;7;997.9;0;0.9;75;-;-;-
LUG;18640203;-;-;7;995;0;1.4;71;-;-;-
LUG;18640204;-;-;77;983.5;0;2.9;69;-;-;-
LUG;18640205;-;-;100;975.7;0;4.5;51;-;-;-
LUG;18640206;-;-;100;971.2;0.4;0.5;88.7;-;-;-
LUG;18640207;-;-;100;972.9;27.9;1.1;83.3;-;-;-
LUG;18640208;-;-;40;967;3.9;-2.8;72;-;-;-
LUG;18640209;-;-;10;966.6;0;-4.3;61.7;-;-;-
LUG;18640210;-;-;3;970.3;0;-5.4;71.3;-;-;-
LUG;18640211;-;-;37;971.1;0;0.6;53;-;-;-
LUG;18640212;-;-;60;984;0;2.3;58.3;-;-;-
LUG;18640213;-;-;33;993.4;0;0.9;64;-;-;-
LUG;18640214;-;-;10;997;0;0.7;70.7;-;-;-
LUG;18640215;-;-;40;992.6;0;2.2;77.7;-;-;-
LUG;18640216;-;-;60;983.3;0;2.1;82.3;-;-;-
LUG;18640217;-;-;67;968.8;1;3.5;69;-;-;-
LUG;18640218;-;-;13;971.8;0;4.2;23;-;-;-
LUG;18640219;-;-;80;977.4;0;0.1;65;-;-;-
LUG;18640220;-;-;100;979.7;1.5;-0.9;89.3;-;-;-
LUG;18640221;-;-;100;968;23.4;1;93.3;-;-;-
LUG;18640222;-;-;100;982.3;13.8;3.3;86.7;-;-;-
LUG;18640223;-;-;100;980.1;10.9;3.6;94;-;-;-
LUG;18640224;-;-;97;982.3;3.5;4.2;94;-;-;-
LUG;18640225;-;-;70;981.9;1.1;4.6;93.7;-;-;-
LUG;18640226;-;-;23;980.8;0;5;83;-;-;-
LUG;18640227;-;-;47;980;0;4.6;86.3;-;-;-
LUG;18640228;-;-;100;979.1;0;5.4;90;-;-;-
LUG;18640229;-;-;43;968.7;12.1;5.8;89;-;-;-
LUG;18640301;-;-;23;977;0;8.1;47;-;-;-
LUG;18640302;-;-;67;979.7;0;4.3;70.3;-;-;-
LUG;18640303;-;-;37;981.2;0;5;71;-;-;-
LUG;18640304;-;-;77;981.5;0;6.1;78.7;-;-;-
LUG;18640305;-;-;100;977;0;6.5;88;-;-;-
LUG;18640306;-;-;67;971.2;20.1;4.8;91.7;-;-;-
LUG;18640307;-;-;67;978.5;0.1;5.3;95.7;-;-;-
LUG;18640308;-;-;100;977.4;14.3;7.9;94.7;-;-;-
LUG;18640309;-;-;97;971.4;23.8;11;84;-;-;-
LUG;18640310;-;-;63;976;8.5;9.9;75.3;-;-;-
LUG;18640311;-;-;13;985.3;1;7;65.7;-;-;-
LUG;18640312;-;-;7;987.8;0;8.6;46.3;-;-;-
LUG;18640313;-;-;3;993.8;0;6.5;54;-;-;-
LUG;18640314;-;-;10;991.9;0;5.9;65.3;-;-;-
LUG;18640315;-;-;60;985;0;6.6;69.7;-;-;-
LUG;18640316;-;-;60;978.9;0;6.2;74;-;-;-
LUG;18640317;-;-;53;983;0;6.9;69.7;-;-;-
LUG;18640318;-;-;67;980.8;0;5.8;61;-;-;-
LUG;18640319;-;-;97;979.1;0;5.5;63;-;-;-
LUG;18640320;-;-;83;975.9;0;5.7;70;-;-;-
LUG;18640321;-;-;97;972.2;0;8.5;76.3;-;-;-
LUG;18640322;-;-;83;968.9;1.2;9.2;72.7;-;-;-
LUG;18640323;-;-;77;970.1;0;8.2;77.3;-;-;-
LUG;18640324;-;-;50;974.4;0;7.6;69.3;-;-;-
LUG;18640325;-;-;70;976.1;0.6;8.4;66;-;-;-
LUG;18640326;-;-;93;967.4;0;8.8;72;-;-;-
LUG;18640327;-;-;100;959.5;6.7;7.1;85.7;-;-;-
LUG;18640328;-;-;67;951.3;10;9.5;51;-;-;-
LUG;18640329;-;-;83;952.3;0;7.6;42;-;-;-
LUG;18640330;-;-;50;961;0;8.1;28.7;-;-;-
LUG;18640331;-;-;20;975.2;0;10.4;25.7;-;-;-
LUG;18640401;-;-;0;980.2;0;8.6;49.3;-;-;-
LUG;18640402;-;-;23;975.5;0;7.4;51;-;-;-
LUG;18640403;-;-;7;980.9;0;8.5;34.7;-;-;-
LUG;18640404;-;-;23;981.8;0;8.9;54.7;-;-;-
LUG;18640405;-;-;30;977.1;0;13.2;39.3;-;-;-
LUG;18640406;-;-;10;980.1;0;11.9;29.3;-;-;-
LUG;18640407;-;-;97;982.8;0;4.2;75;-;-;-
LUG;18640408;-;-;7;983.2;0;5.8;46.7;-;-;-
