stn;time;" Globalstrahlung (W/m); Tagesmittel";Sonnenscheindauer (min);Gesamtschneehoehe (cm);Gesamtbewoelkung (min);Luftdruck auf Stationshoehe (hpa);Tiefsttemperatur;Maximaltemperatur;Relative Luftfeuchtigkeit (%);Niederschlag (mm);Durchschnittstemperatur
MER;18890701;-;-;-;-;-;-;-;-;3.8;15.9
MER;18890702;-;-;-;-;-;-;-;-;0;17
MER;18890703;-;-;-;-;-;-;-;-;0;17.5
MER;18890704;-;-;-;-;-;-;-;-;0;18.8
MER;18890705;-;-;-;-;-;-;-;-;14.8;16.7
MER;18890706;-;-;-;-;-;-;-;-;4.7;15.4
MER;18890707;-;-;-;-;-;-;-;-;0.1;16.9
MER;18890708;-;-;-;-;-;-;-;-;9.5;17.8
MER;18890709;-;-;-;-;-;-;-;-;0;19.4
MER;18890710;-;-;-;-;-;-;-;-;0;20.4
MER;18890711;-;-;-;-;-;-;-;-;3;21.8
MER;18890712;-;-;-;-;-;-;-;-;18.5;21.7
MER;18890713;-;-;-;-;-;-;-;-;32.2;20.4
MER;18890714;-;-;-;-;-;-;-;-;14.5;15
MER;18890715;-;-;-;-;-;-;-;-;0.2;15.5
MER;18890716;-;-;-;-;-;-;-;-;0;16.9
MER;18890717;-;-;-;-;-;-;-;-;14.2;17.5
MER;18890718;-;-;-;-;-;-;-;-;0;14.9
MER;18890719;-;-;-;-;-;-;-;-;4.2;15.5
MER;18890720;-;-;-;-;-;-;-;-;0.5;15.7
MER;18890721;-;-;-;-;-;-;-;-;0.1;17.5
MER;18890722;-;-;-;-;-;-;-;-;2.1;17.3
MER;18890723;-;-;-;-;-;-;-;-;16.2;14.6
MER;18890724;-;-;-;-;-;-;-;-;1;14.6
MER;18890725;-;-;-;-;-;-;-;-;0;15.4
MER;18890726;-;-;-;-;-;-;-;-;9.7;13.8
MER;18890727;-;-;-;-;-;-;-;-;19.8;10.6
MER;18890728;-;-;-;-;-;-;-;-;7;10.5
MER;18890729;-;-;-;-;-;-;-;-;0;11.9
MER;18890730;-;-;-;-;-;-;-;-;0;14.7
MER;18890731;-;-;-;-;-;-;-;-;0;17.8
MER;18890801;-;-;-;-;-;-;-;-;0;18.5
MER;18890802;-;-;-;-;-;-;-;-;5.2;19.1
MER;18890803;-;-;-;-;-;-;-;-;0;20
MER;18890804;-;-;-;-;-;-;-;-;0;20.8
MER;18890805;-;-;-;-;-;-;-;-;2.2;19.3
MER;18890806;-;-;-;-;-;-;-;-;1;18.8
MER;18890807;-;-;-;-;-;-;-;-;0;17
MER;18890808;-;-;-;-;-;-;-;-;2.2;17.3
MER;18890809;-;-;-;-;-;-;-;-;1.3;18.2
MER;18890810;-;-;-;-;-;-;-;-;6.3;18.1
MER;18890811;-;-;-;-;-;-;-;-;4.4;14.9
MER;18890812;-;-;-;-;-;-;-;-;9.6;15
MER;18890813;-;-;-;-;-;-;-;-;7;12.1
MER;18890814;-;-;-;-;-;-;-;-;0.1;12.4
MER;18890815;-;-;-;-;-;-;-;-;1;13.6
MER;18890816;-;-;-;-;-;-;-;-;0;16.1
MER;18890817;-;-;-;-;-;-;-;-;0;16
MER;18890818;-;-;-;-;-;-;-;-;0;17.5
MER;18890819;-;-;-;-;-;-;-;-;17;20.4
MER;18890820;-;-;-;-;-;-;-;-;1;16
MER;18890821;-;-;-;-;-;-;-;-;0;16
MER;18890822;-;-;-;-;-;-;-;-;7.4;13.7
MER;18890823;-;-;-;-;-;-;-;-;20.6;12.1
MER;18890824;-;-;-;-;-;-;-;-;6.8;11.1
MER;18890825;-;-;-;-;-;-;-;-;3.1;11.6
MER;18890826;-;-;-;-;-;-;-;-;11.5;11.5
MER;18890827;-;-;-;-;-;-;-;-;1.2;11.3
MER;18890828;-;-;-;-;-;-;-;-;0;12.1
MER;18890829;-;-;-;-;-;-;-;-;0;14.1
MER;18890830;-;-;-;-;-;-;-;-;0;15.9
MER;18890831;-;-;-;-;-;-;-;-;0;18.1
MER;18890901;-;-;-;-;-;-;-;-;0;19.3
MER;18890902;-;-;-;-;-;-;-;-;0;17.9
MER;18890903;-;-;-;-;-;-;-;-;6.7;18.9
MER;18890904;-;-;-;-;-;-;-;-;4.9;14.9
MER;18890905;-;-;-;-;-;-;-;-;7.5;15.1
MER;18890906;-;-;-;-;-;-;-;-;0;15.9
MER;18890907;-;-;-;-;-;-;-;-;0;13.4
MER;18890908;-;-;-;-;-;-;-;-;1.5;14.8
MER;18890909;-;-;-;-;-;-;-;-;0;15
MER;18890910;-;-;-;-;-;-;-;-;0;14
MER;18890911;-;-;-;-;-;-;-;-;0;14.4
MER;18890912;-;-;-;-;-;-;-;-;0;16.5
MER;18890913;-;-;-;-;-;-;-;-;0;16.5
MER;18890914;-;-;-;-;-;-;-;-;0;16.3
MER;18890915;-;-;-;-;-;-;-;-;0;10.1
MER;18890916;-;-;-;-;-;-;-;-;0;7
MER;18890917;-;-;-;-;-;-;-;-;0;6.4
MER;18890918;-;-;-;-;-;-;-;-;0.5;6.1
MER;18890919;-;-;-;-;-;-;-;-;0;8.1
MER;18890920;-;-;-;-;-;-;-;-;12.7;7.8
MER;18890921;-;-;-;-;-;-;-;-;10.6;9.2
MER;18890922;-;-;-;-;-;-;-;-;18.7;10
MER;18890923;-;-;-;-;-;-;-;-;0;9.6
MER;18890924;-;-;-;-;-;-;-;-;0;9.5
MER;18890925;-;-;-;-;-;-;-;-;10.6;8.3
MER;18890926;-;-;-;-;-;-;-;-;0;6.6
MER;18890927;-;-;-;-;-;-;-;-;0;6.4
MER;18890928;-;-;-;-;-;-;-;-;15.1;10.9
MER;18890929;-;-;-;-;-;-;-;-;4;7.3
MER;18890930;-;-;-;-;-;-;-;-;1;6.7
MER;18891001;-;-;-;-;-;-;-;-;5.1;7.5
MER;18891002;-;-;-;-;-;-;-;-;7.3;5.6
MER;18891003;-;-;-;-;-;-;-;-;0;6.4
MER;18891004;-;-;-;-;-;-;-;-;0;10.5
MER;18891005;-;-;-;-;-;-;-;-;0;9.4
MER;18891006;-;-;-;-;-;-;-;-;0;10.9
MER;18891007;-;-;-;-;-;-;-;-;0;11.3
MER;18891008;-;-;-;-;-;-;-;-;0.6;10.1
MER;18891009;-;-;-;-;-;-;-;-;2.6;11.9
MER;18891010;-;-;-;-;-;-;-;-;39;7.4
MER;18891011;-;-;-;-;-;-;-;-;50.2;8.6
MER;18891012;-;-;-;-;-;-;-;-;0;6.1
MER;18891013;-;-;-;-;-;-;-;-;22.5;4.9
MER;18891014;-;-;-;-;-;-;-;-;1.1;4.3
MER;18891015;-;-;-;-;-;-;-;-;0;3.3
MER;18891016;-;-;-;-;-;-;-;-;0;4.7
MER;18891017;-;-;-;-;-;-;-;-;6.1;6
MER;18891018;-;-;-;-;-;-;-;-;1.2;6.9
MER;18891019;-;-;-;-;-;-;-;-;0;5.4
MER;18891020;-;-;-;-;-;-;-;-;3.7;6.8
MER;18891021;-;-;-;-;-;-;-;-;0;8.3
MER;18891022;-;-;-;-;-;-;-;-;8;8.4
MER;18891023;-;-;-;-;-;-;-;-;0;6.3
MER;18891024;-;-;-;-;-;-;-;-;1.6;8.1
MER;18891025;-;-;-;-;-;-;-;-;6.6;7.4
MER;18891026;-;-;-;-;-;-;-;-;0;9.4
MER;18891027;-;-;-;-;-;-;-;-;18.6;10.6
MER;18891028;-;-;-;-;-;-;-;-;0.2;9.6
MER;18891029;-;-;-;-;-;-;-;-;0;9.7
MER;18891030;-;-;-;-;-;-;-;-;0;9.5
MER;18891031;-;-;-;-;-;-;-;-;8.1;7.8
MER;18891101;-;-;-;-;-;-;-;-;0;6.3
MER;18891102;-;-;-;-;-;-;-;-;1.3;5.4
MER;18891103;-;-;-;-;-;-;-;-;0;4.7
MER;18891104;-;-;-;-;-;-;-;-;0;6.2
MER;18891105;-;-;-;-;-;-;-;-;0;7.4
MER;18891106;-;-;-;-;-;-;-;-;0;8.5
MER;18891107;-;-;-;-;-;-;-;-;0;8.3
MER;18891108;-;-;-;-;-;-;-;-;0;4.2
MER;18891109;-;-;-;-;-;-;-;-;2;6.4
MER;18891110;-;-;-;-;-;-;-;-;0;8.3
MER;18891111;-;-;-;-;-;-;-;-;0;8.1
MER;18891112;-;-;-;-;-;-;-;-;0;5.7
MER;18891113;-;-;-;-;-;-;-;-;0;1.6
MER;18891114;-;-;-;-;-;-;-;-;0;2.7
MER;18891115;-;-;-;-;-;-;-;-;0;-0.1
MER;18891116;-;-;-;-;-;-;-;-;0;-4.2
MER;18891117;-;-;-;-;-;-;-;-;0;-3.3
MER;18891118;-;-;-;-;-;-;-;-;0;-0.9
MER;18891119;-;-;-;-;-;-;-;-;0;-2.9
MER;18891120;-;-;-;-;-;-;-;-;0;-4.3
MER;18891121;-;-;-;-;-;-;-;-;0;-3
MER;18891122;-;-;-;-;-;-;-;-;0;-4.2
MER;18891123;-;-;-;-;-;-;-;-;0;-3.5
MER;18891124;-;-;-;-;-;-;-;-;0;-3.8
MER;18891125;-;-;-;-;-;-;-;-;14.9;1
MER;18891126;-;-;-;-;-;-;-;-;0;2.4
MER;18891127;-;-;-;-;-;-;-;-;12.3;1
MER;18891128;-;-;-;-;-;-;-;-;8.7;-1.9
MER;18891129;-;-;-;-;-;-;-;-;9.8;-2.8
MER;18891130;-;-;-;-;-;-;-;-;26.2;-2.5
MER;18891201;-;-;-;-;-;-;-;-;0;-4.4
MER;18891202;-;-;-;-;-;-;-;-;0;-10.5
MER;18891203;-;-;-;-;-;-;-;-;0;-8.3
MER;18891204;-;-;-;-;-;-;-;-;0;-5.7
MER;18891205;-;-;-;-;-;-;-;-;0;-5.3
MER;18891206;-;-;-;-;-;-;-;-;0;-4.6
MER;18891207;-;-;-;-;-;-;-;-;0;-5.9
MER;18891208;-;-;-;-;-;-;-;-;0;-6.8
MER;18891209;-;-;-;-;-;-;-;-;7.6;-8.9
MER;18891210;-;-;-;-;-;-;-;-;1;-2.2
MER;18891211;-;-;-;-;-;-;-;-;8.1;2.7
MER;18891212;-;-;-;-;-;-;-;-;0;0.6
MER;18891213;-;-;-;-;-;-;-;-;0;-2.2
MER;18891214;-;-;-;-;-;-;-;-;0;-6.3
MER;18891215;-;-;-;-;-;-;-;-;0;-3.4
MER;18891216;-;-;-;-;-;-;-;-;0;-6.8
MER;18891217;-;-;-;-;-;-;-;-;0;-9
MER;18891218;-;-;-;-;-;-;-;-;0;-9.9
MER;18891219;-;-;-;-;-;-;-;-;0;-7.7
MER;18891220;-;-;-;-;-;-;-;-;0;-7.5
MER;18891221;-;-;-;-;-;-;-;-;2.1;-6.2
MER;18891222;-;-;-;-;-;-;-;-;1.4;-3.4
MER;18891223;-;-;-;-;-;-;-;-;0;1.8
MER;18891224;-;-;-;-;-;-;-;-;13.9;0.2
MER;18891225;-;-;-;-;-;-;-;-;6.9;0.6
MER;18891226;-;-;-;-;-;-;-;-;0;-0.4
MER;18891227;-;-;-;-;-;-;-;-;0;-3.3
MER;18891228;-;-;-;-;-;-;-;-;0;-2.9
MER;18891229;-;-;-;-;-;-;-;-;0;-2.6
MER;18891230;-;-;-;-;-;-;-;-;0;-3
MER;18891231;-;-;-;-;-;-;-;-;0;-3.7
MER;18900101;-;-;-;-;-;-;-;-;0;-1.5
MER;18900102;-;-;-;-;-;-;-;-;0;-1.5
MER;18900103;-;-;-;-;-;-;-;-;0;6.5
MER;18900104;-;-;-;-;-;-;-;-;0;5.8
MER;18900105;-;-;-;-;-;-;-;-;0;-1.2
MER;18900106;-;-;-;-;-;-;-;-;0;-0.9
MER;18900107;-;-;-;-;-;-;-;-;0;-2
MER;18900108;-;-;-;-;-;-;-;-;0;-3.3
MER;18900109;-;-;-;-;-;-;-;-;0;-2.4
MER;18900110;-;-;-;-;-;-;-;-;7.8;-0.8
MER;18900111;-;-;-;-;-;-;-;-;1.7;2.3
MER;18900112;-;-;-;-;-;-;-;-;19.8;1.2
MER;18900113;-;-;-;-;-;-;-;-;0;1.2
MER;18900114;-;-;-;-;-;-;-;-;0;1.1
MER;18900115;-;-;-;-;-;-;-;-;0;-1.5
MER;18900116;-;-;-;-;-;-;-;-;0;-3.7
MER;18900117;-;-;-;-;-;-;-;-;0;-6.6
MER;18900118;-;-;-;-;-;-;-;-;0;-5.4
MER;18900119;-;-;-;-;-;-;-;-;0;-1.8
MER;18900120;-;-;-;-;-;-;-;-;4.4;2.4
MER;18900121;-;-;-;-;-;-;-;-;0;2.9
MER;18900122;-;-;-;-;-;-;-;-;5.1;4.2
MER;18900123;-;-;-;-;-;-;-;-;11.4;6
MER;18900124;-;-;-;-;-;-;-;-;0;4.3
MER;18900125;-;-;-;-;-;-;-;-;0;3
MER;18900126;-;-;-;-;-;-;-;-;15;1.4
MER;18900127;-;-;-;-;-;-;-;-;0;2.3
MER;18900128;-;-;-;-;-;-;-;-;0;0.6
MER;18900129;-;-;-;-;-;-;-;-;4.5;0.8
MER;18900130;-;-;-;-;-;-;-;-;0;-3.3
