stn;time;" Globalstrahlung (W/m); Tagesmittel";Gesamtschneehoehe (cm);Gesamtbewoelkung (min);Luftdruck auf Stationshoehe (hpa);Niederschlag (mm);Sonnenscheindauer (min);Durchschnittstemperatur (¡C);Tiefsttemperatur (¡C);Maximaltemperatur (¡C);Relative Luftfeuchtigkeit (%)
PAY;19640801;-;0;46;961.4;0;570;21.1;14.9;26.9;57.6
PAY;19640802;-;0;92;961.6;1;162;19;17.7;23.1;69.6
PAY;19640803;-;0;42;963.2;0;612;17.9;14.7;23;65
PAY;19640804;-;0;0;963.4;0;822;18;9.6;26.7;64.2
PAY;19640805;-;0;8;961.6;0;798;20.1;10.4;28.2;60.5
PAY;19640806;-;0;29;957.5;0;780;21.6;11.5;31;54.7
PAY;19640807;-;0;79;954.8;3.6;468;22.9;18.4;28.5;58.4
PAY;19640808;-;0;92;956.8;0;336;16.9;14.7;26;66.1
PAY;19640809;-;0;92;955.2;8.6;186;16.1;11.7;21.7;69.6
PAY;19640810;-;0;79;959.8;0.8;288;14.4;11.7;18.5;78.7
PAY;19640811;-;0;67;959.5;6.8;414;14.9;11.1;20.5;79.5
PAY;19640812;-;0;92;955.5;0;144;13.6;11.8;18;83.4
PAY;19640813;-;0;83;954.1;0;150;15;9.9;20.6;76.5
PAY;19640814;-;0;54;955;0;678;16.5;8.9;24.5;76
PAY;19640815;-;0;88;956.3;1;132;17.1;12.4;23.6;80
PAY;19640816;-;0;58;959.5;0;600;17.8;10.8;25.5;80
PAY;19640817;-;0;25;953.9;0;750;20.2;10.6;29.6;66.5
PAY;19640818;-;0;92;949.8;15.2;168;16.7;14;18;78.7
PAY;19640819;-;0;79;954.3;0.2;294;15.4;12;19.5;72.2
PAY;19640820;-;0;67;959;0;576;15.2;9.2;20.6;71.4
PAY;19640821;-;0;83;957.7;2;60;12.8;8.7;17.4;91
PAY;19640822;-;0;92;958.5;2.2;18;14.8;13;20;91.5
PAY;19640823;-;0;79;963.7;0;402;15.4;11;21.3;83
PAY;19640824;-;0;33;966.3;0;654;15.6;7.4;23.3;75.6
PAY;19640825;-;0;21;964.1;0;768;17;7.9;26;70.7
PAY;19640826;-;0;0;962.6;0;750;19.5;10.7;28.5;74
PAY;19640827;-;0;0;963.4;0;744;22;13.9;30.8;69.2
PAY;19640828;-;0;29;963.2;1;714;23.1;14.5;31.6;64.6
PAY;19640829;-;0;79;962.8;33;240;18.8;15.2;30.6;81.1
PAY;19640830;-;0;54;967;0;504;13.3;11.1;17.1;80
PAY;19640831;-;0;25;967.5;0;624;12.6;5.7;18.7;76.5
PAY;19640901;-;0;17;968;0;732;12.5;5.3;19.1;71.9
PAY;19640902;-;0;0;965.3;0;690;12;4.4;20.1;78.9
PAY;19640903;-;0;58;961.3;0;420;15;7.3;23.8;81
PAY;19640904;-;0;75;958.8;0;312;17.8;13.4;23.8;81.6
PAY;19640905;-;0;88;958.6;5.8;102;17.8;14.1;22;81.7
PAY;19640906;-;0;88;958.3;3.3;84;14.9;13.2;17.1;88.7
PAY;19640907;-;0;71;962.6;0;306;14.3;11.9;18.5;77.6
PAY;19640908;-;0;54;965.6;0;348;13.4;7.4;20.8;81.4
PAY;19640909;-;0;33;965.8;0;726;15.7;8.7;23.6;77.9
PAY;19640910;-;0;8;965;0;720;15.9;8;24;81.2
PAY;19640911;-;0;25;963.3;0.1;660;17.4;9.4;27;79.9
PAY;19640912;-;0;75;963;0.3;306;19.1;13.2;27.5;80.2
PAY;19640913;-;0;63;963;0;252;16.6;13.2;21.5;90.2
PAY;19640914;-;0;42;961.6;0;486;18.2;13;26.8;84.5
PAY;19640915;-;0;88;961.3;0;378;19.4;12.8;26.5;81.5
PAY;19640916;-;0;83;958;14.5;102;18.4;13.7;25;81
PAY;19640917;-;0;71;961.3;0.3;372;16;13.4;19.9;68.7
PAY;19640918;-;0;71;964.1;0;294;14.1;11.6;18;71.9
PAY;19640919;-;0;58;963.8;0;426;13.8;7.3;19.3;73.6
PAY;19640920;-;0;96;961.6;7.4;0;13.3;11.7;15.9;79.2
PAY;19640921;-;0;71;968.3;1.3;354;9.9;7.3;14.3;78.9
PAY;19640922;-;0;17;970.8;0;648;8.1;1.8;15;76.9
PAY;19640923;-;0;0;966.4;0;648;8.6;1.4;16.1;78.5
PAY;19640924;-;0;0;964.2;0;636;10.3;2.7;18.3;83.4
PAY;19640925;-;0;4;965.5;0;432;12.5;5.3;22.3;86.6
PAY;19640926;-;0;75;964.7;4.4;216;13.1;6.5;21.2;92.1
PAY;19640927;-;0;96;962.4;19.1;0;13.7;12.6;15.2;98.2
PAY;19640928;-;0;71;963.6;0;336;13.9;12.6;17.9;93
PAY;19640929;-;0;58;964.7;0;336;13.7;10.8;19.6;92.6
PAY;19640930;-;0;79;963.2;1.1;186;13.7;7.9;18.9;95
PAY;19641001;-;0;79;963;0;282;15.1;12.7;19.6;92.2
PAY;19641002;-;0;96;963.5;1.5;0;13.4;12.3;15.6;96.4
PAY;19641003;-;0;88;965.3;0;150;14.4;12.7;18.3;94.1
PAY;19641004;-;0;75;966.5;0;396;14.1;10.6;19.6;89.7
PAY;19641005;-;0;71;967.6;0;240;13.7;11.7;18.8;91.2
PAY;19641006;-;0;50;967.5;0;372;11.9;6.1;19.3;91.5
PAY;19641007;-;0;79;956.6;45;360;13.1;5.6;20.7;84.7
PAY;19641008;-;0;96;939.5;11.5;12;10.1;8.6;11.7;90.2
PAY;19641009;-;0;83;940.1;1.8;372;8.2;5.6;11.1;76.5
PAY;19641010;-;0;83;942;19.2;18;8.5;6.9;10.6;80.7
PAY;19641011;-;0;38;944.7;1;492;9;3.2;13.9;74
PAY;19641012;-;0;79;945.1;0;126;8.4;4;11.6;85.5
PAY;19641013;-;0;58;945.3;0;402;6;2.8;11.4;88.9
PAY;19641014;-;0;100;948.5;3.3;0;3.1;0.8;7.2;94.5
PAY;19641015;-;0;75;949.8;4.1;126;7.4;3.6;11.6;85.5
PAY;19641016;-;0;96;958.5;4.3;114;8.6;5.3;11.8;79.1
PAY;19641017;-;0;96;966.2;2.3;84;7.1;5.7;10.4;88
PAY;19641018;-;0;75;969.7;0.4;348;7.5;5.2;11.8;86.1
PAY;19641019;-;0;58;970;0;528;6.3;3.7;10;81
PAY;19641020;-;0;63;967.3;0;198;5.6;3.1;8.8;80
PAY;19641021;-;0;100;963.8;0;0;5.2;3.1;6.8;84.9
PAY;19641022;-;0;96;958.3;0;18;6.2;4.8;9.2;87
PAY;19641023;-;0;88;948.4;5.3;0;6.4;3.6;10;83.5
PAY;19641024;-;0;88;949.9;0;60;3;1.7;5.8;82
PAY;19641025;-;0;83;961.4;0;258;2.8;-0.7;6.6;79.6
PAY;19641026;-;0;100;964.2;0;6;4.2;2.4;5.3;79.9
PAY;19641027;-;0;100;963.7;0;12;4.9;3.8;6.7;88.2
PAY;19641028;-;0;100;966.1;0;0;5.6;4.7;7;89.9
PAY;19641029;-;0;100;968.7;0;6;6.6;5.4;8.8;88.5
PAY;19641030;-;0;100;969.8;0;48;6.3;5.2;8.3;90.7
PAY;19641031;-;0;63;967.4;0;210;5.8;4;9.1;91.5
PAY;19641101;-;0;79;967.7;0;0;5.6;4.2;8.6;89.4
PAY;19641102;-;0;100;966.8;0;0;5;3.6;6.8;92.7
PAY;19641103;-;0;100;961.2;3.9;0;4;3.3;5.2;96.1
PAY;19641104;-;0;100;958.3;0;0;4.1;3.4;5.6;93.9
PAY;19641105;-;0;100;957.1;0;0;3.6;3;4.2;88.1
PAY;19641106;-;0;100;959.5;0;0;3.4;3;4.4;83.4
PAY;19641107;-;0;100;961.1;0;0;3;2.2;4.2;86.2
PAY;19641108;-;0;100;958.4;0;0;2.1;1.6;3;89.1
PAY;19641109;-;0;100;955.9;0;0;1.9;0.5;4.4;88.7
PAY;19641110;-;0;100;959.4;0;0;3.8;2.4;6.4;91.6
PAY;19641111;-;0;92;962.7;0;84;3.5;1.5;7.2;95.1
PAY;19641112;-;0;100;965.1;2.7;36;3.9;0;7.2;96.5
PAY;19641113;-;0;67;965.4;4.2;342;8.6;5.8;13.2;84.6
