stn;time;" Globalstrahlung (W/m); Tagesmittel";Sonnenscheindauer (min);Gesamtschneehoehe (cm);Gesamtbewoelkung (min);Luftdruck auf Stationshoehe (hpa);Niederschlag (mm);Durchschnittstemperatur (¡C);Tiefsttemperatur (¡C);Maximaltemperatur (¡C);Relative Luftfeuchtigkeit (%)
RAG;18700601;-;-;-;-;954.5;0;14.5;-;-;-
RAG;18700602;-;-;-;-;956.3;0;14.3;-;-;-
RAG;18700603;-;-;-;-;958.6;0;16.9;-;-;-
RAG;18700604;-;-;-;-;963.6;0;14.5;-;-;-
RAG;18700605;-;-;-;-;961.9;14.6;10.9;-;-;-
RAG;18700606;-;-;-;-;957.7;0;12.7;-;-;-
RAG;18700607;-;-;-;-;953.7;4.8;12.9;-;-;-
RAG;18700608;-;-;-;-;953.1;1.1;14;-;-;-
RAG;18700609;-;-;-;-;950.3;0;16.4;-;-;-
RAG;18700610;-;-;-;-;948;0;15.4;-;-;-
RAG;18700611;-;-;-;-;956.6;5.3;15.4;-;-;-
RAG;18700612;-;-;-;-;962.7;0;18.1;-;-;-
RAG;18700613;-;-;-;-;961.9;0;20.3;-;-;-
RAG;18700614;-;-;-;-;960.2;0;21.9;-;-;-
RAG;18700615;-;-;-;-;961.4;1.9;20.1;-;-;-
RAG;18700616;-;-;-;-;960.4;0;20.9;-;-;-
RAG;18700617;-;-;-;-;958.9;0;19.5;-;-;-
RAG;18700618;-;-;-;-;960.5;0;19.1;-;-;-
RAG;18700619;-;-;-;-;961.6;0;21.8;-;-;-
RAG;18700620;-;-;-;-;962.3;0;23.3;-;-;-
RAG;18700621;-;-;-;-;960.8;0;21.8;-;-;-
RAG;18700622;-;-;-;-;960.6;0;22.2;-;-;-
RAG;18700623;-;-;-;-;955.7;0;22.9;-;-;-
RAG;18700624;-;-;-;-;950.5;5.8;21.6;-;-;-
RAG;18700625;-;-;-;-;954.3;0;12.8;-;-;-
RAG;18700626;-;-;-;-;958.8;12.6;14.4;-;-;-
RAG;18700627;-;-;-;-;953.7;0;18;-;-;-
RAG;18700628;-;-;-;-;954.8;10.8;14;-;-;-
RAG;18700629;-;-;-;-;954.8;0;16.2;-;-;-
RAG;18700630;-;-;-;-;955.4;0;17.4;-;-;-
RAG;18700701;-;-;-;-;959.5;0;19.8;-;-;-
RAG;18700702;-;-;-;-;957.7;0;11.9;-;-;-
RAG;18700703;-;-;-;-;957.5;5.2;14.9;-;-;-
RAG;18700704;-;-;-;-;960;0;18.9;-;-;-
RAG;18700705;-;-;-;-;965;0;21.1;-;-;-
RAG;18700706;-;-;-;-;961.7;0;25.6;-;-;-
RAG;18700707;-;-;-;-;961.5;0;23.9;-;-;-
RAG;18700708;-;-;-;-;960.2;0;23.8;-;-;-
RAG;18700709;-;-;-;-;959.9;2.8;22.1;-;-;-
RAG;18700710;-;-;-;-;959.1;0;24.5;-;-;-
RAG;18700711;-;-;-;-;953.6;0;29.1;-;-;-
RAG;18700712;-;-;-;-;953.3;0;21.9;-;-;-
RAG;18700713;-;-;-;-;956.1;15.2;17.3;-;-;-
RAG;18700714;-;-;-;-;960.7;0;17.1;-;-;-
RAG;18700715;-;-;-;-;959;0;20.8;-;-;-
RAG;18700716;-;-;-;-;957.1;0;22;-;-;-
RAG;18700717;-;-;-;-;959.6;4.6;16.8;-;-;-
RAG;18700718;-;-;-;-;961.3;0;16.3;-;-;-
RAG;18700719;-;-;-;-;963.9;0;19.6;-;-;-
RAG;18700720;-;-;-;-;965.4;0;20.6;-;-;-
RAG;18700721;-;-;-;-;963.6;0;22.3;-;-;-
RAG;18700722;-;-;-;-;960.6;0;21;-;-;-
RAG;18700723;-;-;-;-;959.6;0;22.4;-;-;-
RAG;18700724;-;-;-;-;958.5;0;23.8;-;-;-
RAG;18700725;-;-;-;-;957.3;0;23.3;-;-;-
RAG;18700726;-;-;-;-;957.5;30;20.4;-;-;-
RAG;18700727;-;-;-;-;955.2;2.4;18.8;-;-;-
RAG;18700728;-;-;-;-;954.6;13.3;15.9;-;-;-
RAG;18700729;-;-;-;-;954;16.5;17.5;-;-;-
RAG;18700730;-;-;-;-;953.9;0;19;-;-;-
RAG;18700731;-;-;-;-;953.5;7;17.4;-;-;-
