stn;time;" Globalstrahlung (W/m); Tagesmittel";Luftdruck auf Stationshoehe (hpa);Sonnenscheindauer (min);Gesamtschneehoehe (cm);Gesamtbewoelkung (min);Relative Luftfeuchtigkeit (%);Durchschnittstemperatur (¡C);Tiefsttemperatur (¡C);Maximaltemperatur (¡C);Niederschlag (mm)
SIA;18631201;-;-;-;-;-;-;-6.1;-;-;0
SIA;18631202;-;-;-;-;-;-;-6.4;-;-;0
SIA;18631203;-;-;-;-;-;-;-4.8;-;-;0.8
SIA;18631204;-;-;-;-;-;-;-7.3;-;-;0.6
SIA;18631205;-;-;-;-;-;-;-7.2;-;-;0
SIA;18631206;-;-;-;-;-;-;-4;-;-;0
SIA;18631207;-;-;-;-;-;-;-5.2;-;-;0
SIA;18631208;-;-;-;-;-;-;-6.3;-;-;0
SIA;18631209;-;-;-;-;-;-;-3.3;-;-;0
SIA;18631210;-;-;-;-;-;-;-3.8;-;-;0
SIA;18631211;-;-;-;-;-;-;-0.6;-;-;0
SIA;18631212;-;-;-;-;-;-;4.4;-;-;5.5
SIA;18631213;-;-;-;-;-;-;2.3;-;-;0
SIA;18631214;-;-;-;-;-;-;-0.1;-;-;0
SIA;18631215;-;-;-;-;-;-;-3.2;-;-;0
SIA;18631216;-;-;-;-;-;-;-3.6;-;-;0
SIA;18631217;-;-;-;-;-;-;-3.3;-;-;2.7
SIA;18631218;-;-;-;-;-;-;-6.1;-;-;9.6
SIA;18631219;-;-;-;-;-;-;-6.8;-;-;0
SIA;18631220;-;-;-;-;-;-;-6.8;-;-;0
SIA;18631221;-;-;-;-;-;-;-7.3;-;-;0
SIA;18631222;-;-;-;-;-;-;-4.6;-;-;0
SIA;18631223;-;-;-;-;-;-;-9.1;-;-;4.3
SIA;18631224;-;-;-;-;-;-;-1.5;-;-;0
SIA;18631225;-;-;-;-;-;-;-7.2;-;-;0
SIA;18631226;-;-;-;-;-;-;-7.1;-;-;0
SIA;18631227;-;-;-;-;-;-;-2.1;-;-;0
SIA;18631228;-;-;-;-;-;-;-7.6;-;-;0
SIA;18631229;-;-;-;-;-;-;-2.3;-;-;0
SIA;18631230;-;-;-;-;-;-;-1.9;-;-;0
SIA;18631231;-;-;-;-;-;-;-6.9;-;-;0
SIA;18640101;-;803.9;-;-;67;89.3;-7.8;-;-;3.8
SIA;18640102;-;803.5;-;-;50;81.3;-12.6;-;-;0
SIA;18640103;-;806.9;-;-;0;82.7;-20.3;-;-;0
SIA;18640104;-;811.5;-;-;57;86.3;-12.4;-;-;0
SIA;18640105;-;815.3;-;-;20;81;-12.4;-;-;0
SIA;18640106;-;815.9;-;-;0;75;-12.3;-;-;0
SIA;18640107;-;816.3;-;-;0;72;-12.4;-;-;0
SIA;18640108;-;818.1;-;-;0;78;-12.4;-;-;0
SIA;18640109;-;817.2;-;-;10;75.3;-13.1;-;-;0
SIA;18640110;-;816.5;-;-;0;67.3;-11.4;-;-;0
SIA;18640111;-;818.9;-;-;0;77.3;-10.9;-;-;0
SIA;18640112;-;821.4;-;-;0;80.7;-12.1;-;-;0
SIA;18640113;-;820.9;-;-;0;83;-9.7;-;-;0
SIA;18640114;-;818.5;-;-;0;75.7;-10.5;-;-;0
SIA;18640115;-;818.3;-;-;10;77.7;-10.7;-;-;0
SIA;18640116;-;819.5;-;-;27;91;-15.9;-;-;0
SIA;18640117;-;819.1;-;-;0;95.7;-18.8;-;-;0
SIA;18640118;-;821.5;-;-;0;79;-17.7;-;-;0
SIA;18640119;-;822.5;-;-;0;70.7;-15.2;-;-;0
SIA;18640120;-;824.1;-;-;3;74.3;-11;-;-;0
SIA;18640121;-;823.3;-;-;37;76;-8.7;-;-;0
SIA;18640122;-;822.4;-;-;0;76.7;-7.3;-;-;0
SIA;18640123;-;822.3;-;-;3;77;-7.8;-;-;0
SIA;18640124;-;820.6;-;-;33;81.7;-4.6;-;-;0
SIA;18640125;-;823.9;-;-;30;80.7;-5.9;-;-;0
SIA;18640126;-;825.1;-;-;0;74.7;-9.4;-;-;0
SIA;18640127;-;822;-;-;40;76.3;-7.3;-;-;0
SIA;18640128;-;814.9;-;-;70;85.7;-4.2;-;-;0
SIA;18640129;-;811;-;-;77;82;-6.7;-;-;1.1
