stn;time;" Globalstrahlung (W/m); Tagesmittel";Gesamtschneehoehe (cm);Gesamtbewoelkung (min);Luftdruck auf Stationshoehe (hpa);Niederschlag (mm);Sonnenscheindauer (min);Maximaltemperatur (¡C);Durchschnittstemperatur (¡C);Tiefsttemperatur (¡C);Relative Luftfeuchtigkeit (%)
STG;18640101;-;-;-;-;-;-;-;-3.7;-;-
STG;18640102;-;-;-;-;-;-;-;-10.7;-;-
STG;18640103;-;-;-;-;-;-;-;-12.6;-;-
STG;18640104;-;-;-;-;-;-;-;-14.1;-;-
STG;18640105;-;-;-;-;-;-;-;-10.6;-;-
STG;18640106;-;-;-;-;-;-;-;-8.8;-;-
STG;18640107;-;-;-;-;-;-;-;-10.4;-;-
STG;18640108;-;-;-;-;-;-;-;-8.9;-;-
STG;18640109;-;-;-;-;-;-;-;-9.4;-;-
STG;18640110;-;-;-;-;-;-;-;-7.9;-;-
STG;18640111;-;-;-;-;-;-;-;-8.9;-;-
STG;18640112;-;-;-;-;-;-;-;-9.5;-;-
STG;18640113;-;-;-;-;-;-;-;-10.3;-;-
STG;18640114;-;-;-;-;-;-;-;-9.6;-;-
STG;18640115;-;-;-;-;-;-;-;-8.4;-;-
STG;18640116;-;-;-;-;-;-;-;-10.1;-;-
STG;18640117;-;-;-;-;-;-;-;-10;-;-
STG;18640118;-;-;-;-;-;-;-;-10.5;-;-
STG;18640119;-;-;-;-;-;-;-;-10.4;-;-
STG;18640120;-;-;-;-;-;-;-;-7;-;-
STG;18640121;-;-;-;-;-;-;-;-4.6;-;-
STG;18640122;-;-;-;-;-;-;-;0.5;-;-
STG;18640123;-;-;-;-;-;-;-;4.4;-;-
STG;18640124;-;-;-;-;-;-;-;5.2;-;-
STG;18640125;-;-;-;-;-;-;-;2;-;-
STG;18640126;-;-;-;-;-;-;-;0.8;-;-
STG;18640127;-;-;-;-;-;-;-;4.8;-;-
STG;18640128;-;-;-;-;-;-;-;3.8;-;-
STG;18640129;-;-;-;-;-;-;-;-1.4;-;-
STG;18640130;-;-;-;-;-;-;-;-8.3;-;-
STG;18640131;-;-;-;-;-;-;-;-10.5;-;-
STG;18640201;-;-;-;-;-;-;-;-5.9;-;-
STG;18640202;-;-;-;-;-;-;-;-4.8;-;-
STG;18640203;-;-;-;-;-;-;-;-3.1;-;-
STG;18640204;-;-;-;-;-;-;-;-0.1;-;-
STG;18640205;-;-;-;-;-;-;-;-3.4;-;-
STG;18640206;-;-;-;-;-;-;-;-3.9;-;-
STG;18640207;-;-;-;-;-;-;-;-3.3;-;-
STG;18640208;-;-;-;-;-;-;-;-5.6;-;-
STG;18640209;-;-;-;-;-;-;-;-7.3;-;-
STG;18640210;-;-;-;-;-;-;-;-8;-;-
STG;18640211;-;-;-;-;-;-;-;-7.3;-;-
STG;18640212;-;-;-;-;-;-;-;-6.2;-;-
STG;18640213;-;-;-;-;-;-;-;5.3;-;-
STG;18640214;-;-;-;-;-;-;-;4.1;-;-
STG;18640215;-;-;-;-;-;-;-;5.9;-;-
STG;18640216;-;-;-;-;-;-;-;7.9;-;-
STG;18640217;-;-;-;-;-;-;-;0.3;-;-
STG;18640218;-;-;-;-;-;-;-;-3.4;-;-
STG;18640219;-;-;-;-;-;-;-;-9.4;-;-
STG;18640220;-;-;-;-;-;-;-;-8.1;-;-
STG;18640221;-;-;-;-;-;-;-;-3.3;-;-
STG;18640222;-;-;-;-;-;-;-;-0.6;-;-
STG;18640223;-;-;-;-;-;-;-;1.5;-;-
STG;18640224;-;-;-;-;-;-;-;3.5;-;-
STG;18640225;-;-;-;-;-;-;-;3.3;-;-
STG;18640226;-;-;-;-;-;-;-;3.4;-;-
STG;18640227;-;-;-;-;-;-;-;3.4;-;-
STG;18640228;-;-;-;-;-;-;-;3.1;-;-
STG;18640229;-;-;-;-;-;-;-;1.4;-;-
STG;18640301;-;-;-;-;-;-;-;2;-;-
STG;18640302;-;-;-;-;-;-;-;3;-;-
STG;18640303;-;-;-;-;-;-;-;7;-;-
STG;18640304;-;-;-;-;-;-;-;9.1;-;-
STG;18640305;-;-;-;-;-;-;-;11.2;-;-
STG;18640306;-;-;-;-;-;-;-;8.1;-;-
STG;18640307;-;-;-;-;-;-;-;10.1;-;-
STG;18640308;-;-;-;-;-;-;-;9.5;-;-
STG;18640309;-;-;-;-;-;-;-;9;-;-
STG;18640310;-;-;-;-;-;-;-;2.8;-;-
STG;18640311;-;-;-;-;-;-;-;3.2;-;-
STG;18640312;-;-;-;-;-;-;-;3.1;-;-
STG;18640313;-;-;-;-;-;-;-;3;-;-
STG;18640314;-;-;-;-;-;-;-;3.5;-;-
STG;18640315;-;-;-;-;-;-;-;6.1;-;-
STG;18640316;-;-;-;-;-;-;-;3.8;-;-
STG;18640317;-;-;-;-;-;-;-;0.5;-;-
STG;18640318;-;-;-;-;-;-;-;-0.1;-;-
STG;18640319;-;-;-;-;-;-;-;2.5;-;-
STG;18640320;-;-;-;-;-;-;-;4.6;-;-
STG;18640321;-;-;-;-;-;-;-;5.8;-;-
STG;18640322;-;-;-;-;-;-;-;6.9;-;-
STG;18640323;-;-;-;-;-;-;-;2.8;-;-
STG;18640324;-;-;-;-;-;-;-;1.8;-;-
STG;18640325;-;-;-;-;-;-;-;3.7;-;-
STG;18640326;-;-;-;-;-;-;-;5.8;-;-
STG;18640327;-;-;-;-;-;-;-;6.3;-;-
STG;18640328;-;-;-;-;-;-;-;0.9;-;-
STG;18640329;-;-;-;-;-;-;-;1.7;-;-
STG;18640330;-;-;-;-;-;-;-;0.3;-;-
STG;18640331;-;-;-;-;-;-;-;2.2;-;-
STG;18640401;-;-;-;-;-;-;-;6.4;-;-
STG;18640402;-;-;-;-;-;-;-;1.5;-;-
