stn;time;" Globalstrahlung (W/m); Tagesmittel";Gesamtschneehoehe (cm);Gesamtbewoelkung (min);Luftdruck auf Stationshoehe (hpa);Niederschlag (mm);Sonnenscheindauer (min);Durchschnittstemperatur;Tiefsttemperatur;Maximaltemperatur;Relative Luftfeuchtigkeit (%)
ALT;18640101;-;-;-;953.2;0;-;1.8;-;-;-
ALT;18640102;-;-;-;963.5;4;-;-7;-;-;-
ALT;18640103;-;-;-;967.6;0;-;-11.3;-;-;-
ALT;18640104;-;-;-;968.3;0;-;-9.9;-;-;-
ALT;18640105;-;-;-;970;0;-;-7.6;-;-;-
ALT;18640106;-;-;-;969.7;0;-;-6.8;-;-;-
ALT;18640107;-;-;-;968.2;0;-;-5.4;-;-;-
ALT;18640108;-;-;-;968.6;0;-;-3.4;-;-;-
ALT;18640109;-;-;-;968.2;0;-;-4.9;-;-;-
ALT;18640110;-;-;-;969.8;0;-;-6.6;-;-;-
ALT;18640111;-;-;-;971.9;0;-;-4;-;-;-
ALT;18640112;-;-;-;975;0;-;-5.7;-;-;-
ALT;18640113;-;-;-;973.8;0;-;-6.2;-;-;-
ALT;18640114;-;-;-;972;0;-;-6.3;-;-;-
ALT;18640115;-;-;-;973.3;0;-;-5.5;-;-;-
ALT;18640116;-;-;-;974.6;0;-;-5.3;-;-;-
ALT;18640117;-;-;-;973.6;0;-;-6.7;-;-;-
ALT;18640118;-;-;-;973.3;0;-;-6.3;-;-;-
ALT;18640119;-;-;-;977.8;0;-;-8.1;-;-;-
ALT;18640120;-;-;-;979.3;0;-;-6.2;-;-;-
ALT;18640121;-;-;-;974.2;0;-;-2.7;-;-;-
ALT;18640122;-;-;-;973.8;0;-;-0.8;-;-;-
ALT;18640123;-;-;-;973.1;0;-;0.8;-;-;-
ALT;18640124;-;-;-;971.3;0;-;4.9;-;-;-
ALT;18640125;-;-;-;976.1;12.2;-;3;-;-;-
ALT;18640126;-;-;-;976.4;0;-;-0.1;-;-;-
ALT;18640127;-;-;-;974.1;0;-;2.4;-;-;-
ALT;18640128;-;-;-;966.2;0;-;3.8;-;-;-
ALT;18640129;-;-;-;966.2;31.5;-;1.1;-;-;-
ALT;18640130;-;-;-;975;3.6;-;-3.8;-;-;-
ALT;18640131;-;-;-;974;0;-;-5.3;-;-;-
ALT;18640201;-;-;-;976.2;0;-;-4.6;-;-;-
ALT;18640202;-;-;-;976.4;0;-;-2.5;-;-;-
ALT;18640203;-;-;-;974.1;0;-;-1;-;-;-
ALT;18640204;-;-;-;966.6;0;-;0.6;-;-;-
ALT;18640205;-;-;-;962.8;2.4;-;-0.5;-;-;-
ALT;18640206;-;-;-;954.3;0.6;-;-1.7;-;-;-
ALT;18640207;-;-;-;953.5;1.4;-;-3.3;-;-;-
ALT;18640208;-;-;-;951.9;0.7;-;-3.8;-;-;-
ALT;18640209;-;-;-;950.6;0.4;-;-5.9;-;-;-
ALT;18640210;-;-;-;947.7;0;-;-3.9;-;-;-
ALT;18640211;-;-;-;952.1;0;-;-2.8;-;-;-
ALT;18640212;-;-;-;965.3;0;-;-2.1;-;-;-
ALT;18640213;-;-;-;971.3;0;-;2.6;-;-;-
ALT;18640214;-;-;-;976.3;0;-;3.9;-;-;-
ALT;18640215;-;-;-;970.6;0;-;2.9;-;-;-
ALT;18640216;-;-;-;963.5;0;-;5.4;-;-;-
ALT;18640217;-;-;-;955.3;30.5;-;1.9;-;-;-
ALT;18640218;-;-;-;957.8;6;-;-0.9;-;-;-
ALT;18640219;-;-;-;959.3;0;-;-5.7;-;-;-
ALT;18640220;-;-;-;952.4;0;-;1.9;-;-;-
ALT;18640221;-;-;-;943.2;4.7;-;1.5;-;-;-
ALT;18640222;-;-;-;956.4;0;-;2.3;-;-;-
ALT;18640223;-;-;-;956.4;0;-;2.7;-;-;-
ALT;18640224;-;-;-;958.8;0;-;3.3;-;-;-
ALT;18640225;-;-;-;959.7;0;-;3.1;-;-;-
ALT;18640226;-;-;-;959.5;0;-;4.2;-;-;-
ALT;18640227;-;-;-;957.8;0;-;4.2;-;-;-
ALT;18640228;-;-;-;954.6;0;-;9.8;-;-;-
ALT;18640229;-;-;-;951.8;0;-;4.3;-;-;-
